Product_Number,Total_Orders,Mean_Orders,Std_Orders,Record_Count,First_Date,Last_Date,CV,Active_Days,Volume_Category,Volatility_Category,Segment
Product_84,142,0.505338078291815,1.4665825105649066,281,2022-01-26 18:30:00,2022-05-11 07:04:00,2.902180883582667,104,Low,Volatile,Low_Volatile
Product_85,374,1.3309608540925266,3.033280073127695,281,2022-01-26 18:30:00,2022-05-11 07:04:00,2.279015242109311,104,Low,Volatile,Low_Volatile
Product_86,177056,580.5114754098361,110.23521815567462,305,2022-01-26 18:30:00,2022-05-11 07:04:00,0.1898932627952781,104,High,Stable,High_Stable
Product_87,16762,56.437710437710436,56.513484926378204,297,2022-01-26 18:30:00,2022-05-11 07:04:00,1.0013426215925503,104,Medium,Moderate,Medium_Moderate
Product_88,66096,216.70819672131148,69.1428020169175,305,2022-01-26 18:30:00,2022-05-11 07:04:00,0.31905946827583875,104,High,Stable,High_Stable
Product_89,17792,58.334426229508196,44.899371718020646,305,2022-01-26 18:30:00,2022-05-11 07:04:00,0.7696890947614825,104,Medium,Stable,Medium_Stable
Product_8a,33495,109.81967213114754,18.943048472156327,305,2022-01-26 18:30:00,2022-05-11 07:04:00,0.17249230583692132,104,High,Stable,High_Stable
Product_8b,2967,9.727868852459016,15.907877591194492,305,2022-01-26 18:30:00,2022-05-11 07:04:00,1.6352890681881767,104,Medium,Moderate,Medium_Moderate
Product_8c,3053,10.00983606557377,16.88028382110123,305,2022-01-26 18:30:00,2022-05-11 07:04:00,1.6863696578564937,104,Medium,Moderate,Medium_Moderate
Product_8d,3053,10.00983606557377,16.880283821101223,305,2022-01-26 18:30:00,2022-05-11 07:04:00,1.686369657856493,104,Medium,Moderate,Medium_Moderate
Product_8e,31504,103.29180327868852,57.06018952514427,305,2022-01-26 18:30:00,2022-05-11 07:04:00,0.5524174011290313,104,High,Stable,High_Stable
Product_8f,473,1.5508196721311476,2.766970540259575,305,2022-01-26 18:30:00,2022-05-11 07:04:00,1.7841987627466604,104,Low,Moderate,Low_Moderate
Product_90,4661,15.281967213114754,19.80611206331801,305,2022-01-26 18:30:00,2022-05-11 07:04:00,1.2960446640875334,104,Medium,Moderate,Medium_Moderate
Product_91,478,1.5672131147540984,2.4312062004900206,305,2022-01-26 18:30:00,2022-05-11 07:04:00,1.551292659308486,104,Low,Moderate,Low_Moderate
Product_92,24427,80.08852459016393,33.63663268924622,305,2022-01-26 18:30:00,2022-05-11 07:04:00,0.4199931620837638,104,Medium,Stable,Medium_Stable
